date,channel,rating,response_time_hours,feedback
2026-08-01,Website,5,2,Excellent service and very easy to use
2026-08-02,App,4,4,Good experience and helpful support
2026-08-03,Email,2,18,Slow response and poor support
2026-08-04,Website,5,3,Great experience and fast service
2026-08-05,App,3,8,Average experience but helpful team
2026-08-06,Email,1,30,Bad experience and late response
2026-08-07,Website,4,5,Good service and easy process
2026-08-08,App,5,2,Love the experience and fast support
2026-08-09,Email,2,22,Problem was difficult to resolve
2026-08-10,Website,5,2,Amazing service and very helpful
2026-08-11,App,4,6,Happy with the service
2026-08-12,Email,3,12,Average response and okay service
2026-08-13,Website,4,4,Good and fast support
2026-08-14,App,5,3,Excellent experience and perfect support
2026-08-15,Email,1,28,Worst experience and late response
2026-08-16,Website,5,2,Great service and amazing support
2026-08-17,App,4,5,Good experience and helpful response
2026-08-18,Email,2,20,Unhappy with the slow response
2026-08-19,Website,4,3,Easy process and good service
2026-08-20,App,5,2,Awesome service and fast support
2026-08-21,Email,2,19,Bad support and refund problem
2026-08-22,Website,5,3,Excellent and helpful service
2026-08-23,App,4,5,Good experience
2026-08-24,Email,3,11,Average support and response
2026-08-25,Website,4,4,Fast and good service
2026-08-26,App,5,2,Love the easy experience
2026-08-27,Email,1,32,Broken process and poor support
2026-08-28,Website,5,2,Perfect service and very helpful
2026-08-29,App,4,5,Great and easy experience
2026-08-30,Email,2,24,Slow response and bad experience
2026-08-31,Website,5,3,Excellent service
